Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
109,Baltimore Ravens,BAL,DST,15,TB,null,null,5000,9.3
116,Houston Texans,HOU,DST,15,NYJ,null,null,5000,9
116,Chicago Bears,CHI,DST,15,GB,null,null,3700,9
116,Minnesota Vikings,MIN,DST,15,MIA,null,null,3900,9
123,Jacksonville Jaguars,JAX,DST,15,WAS,null,null,4800,8.8
140,Los Angeles Rams,LAR,DST,15,PHI,null,null,3800,8.4
148,Atlanta Falcons,ATL,DST,15,ARI,null,null,4000,8.1
148,Buffalo Bills,BUF,DST,15,DET,null,null,4200,8.1
148,Seattle Seahawks,SEA,DST,15,SF,null,null,5000,8.1
154,Detroit Lions,DET,DST,15,BUF,null,null,4200,7.9
157,Denver Broncos,DEN,DST,15,CLE,null,null,4500,7.8
167,Washington Redskins,WAS,DST,15,JAX,null,null,4600,7.5
176,Indianapolis Colts,IND,DST,15,DAL,null,null,3600,7.1
176,New Orleans Saints,NO,DST,15,CAR,null,null,3500,7.1
188,Green Bay Packers,GB,DST,15,CHI,null,null,3500,6.8
188,New York Giants,NYG,DST,15,TEN,null,null,3500,6.8
194,Tennessee Titans,TEN,DST,15,NYG,null,null,4000,6.6
200,New York Jets,NYJ,DST,15,HOU,null,null,3500,6.5
200,Dallas Cowboys,DAL,DST,15,IND,null,null,3400,6.5
210,Kansas City Chiefs,KC,DST,15,LAC,null,null,3300,6.3
210,Oakland Raiders,OAK,DST,15,CIN,null,null,3700,6.3
210,Cincinnati Bengals,CIN,DST,15,OAK,null,null,3900,6.3
210,New England Patriots,NE,DST,15,PIT,null,null,3200,6.3
218,Tampa Bay Buccaneers,TB,DST,15,BAL,null,null,3300,6.2
221,Cleveland Browns,CLE,DST,15,DEN,null,null,4000,6.1
226,Arizona Cardinals,ARI,DST,15,ATL,null,null,3300,5.9
226,Miami Dolphins,MIA,DST,15,MIN,null,null,3400,5.9
235,Philadelphia Eagles,PHI,DST,15,LAR,null,null,3200,5.4
242,Pittsburgh Steelers,PIT,DST,15,NE,null,null,3400,5
242,Carolina Panthers,CAR,DST,15,NO,null,null,3200,5
246,Los Angeles Chargers,LAC,DST,15,KC,null,null,3100,4.9
257,San Francisco 49ers,SF,DST,15,SEA,null,null,3900,4.5
65,Jaylen Samuels,PIT,RB,15,NE,21,18,5500,12.38
73,Greg Zuerlein,LAR,K,15,PHI,26,30,5000,11.43
91,Harrison Butker,KC,K,15,LAC,8,6,4950,10.16
92,Justin Tucker,BAL,K,15,TB,31,14,4900,10.06
94,Stephen Gostkowski,NE,K,15,PIT,13,9,4850,10.01
95,Wil Lutz,NO,K,15,CAR,25,17,4800,9.91
97,Ka'imi Fairbairn,HOU,K,15,NYJ,21,25,4750,9.76
100,Matt Bryant,ATL,K,15,ARI,12,11,4700,9.61
110,Sebastian Janikowski,SEA,K,15,SF,25,19,4650,9.26
110,Michael Badgley,LAC,K,15,KC,30,15,4600,9.26
113,Cody Parkey,CHI,K,15,GB,15,12,4550,9.06
115,Brett Maher,DAL,K,15,IND,10,25,4500,9.01
121,Adam Vinatieri,IND,K,15,DAL,4,10,4450,8.86
121,Dan Bailey,MIN,K,15,MIA,27,26,4400,8.86
125,Brandon McManus,DEN,K,15,CLE,26,22,4350,8.76
127,Randy Bullock,CIN,K,15,OAK,29,27,4300,8.71
129,Robbie Gould,SF,K,15,SEA,11,5,4250,8.66
133,Chris Boswell,PIT,K,15,NE,21,20,4200,8.54
134,Daniel Carlson,OAK,K,15,CIN,32,31,4150,8.51
137,Ryan Succop,TEN,K,15,NYG,20,32,4100,8.46
137,Aldrick Rosas,NYG,K,15,TEN,7,15,4050,8.46
139,Jake Elliott,PHI,K,15,LAR,19,20,4000,8.41
145,Jason Myers,NYJ,K,15,HOU,9,9,3950,8.16
147,Steven Hauschka,BUF,K,15,DET,17,6,3900,8.11
152,Mason Crosby,GB,K,15,CHI,1,8,3850,7.94
153,Matt Prater,DET,K,15,BUF,3,24,3800,7.91
163,Jason Sanders,MIA,K,15,MIN,6,28,3750,7.54
180,Cairo Santos,TB,K,15,BAL,2,2,3700,6.95
183,Dustin Hopkins,WAS,K,15,JAX,5,16,3650,6.89
185,Zane Gonzalez,ARI,K,15,ATL,28,18,3600,6.85
209,Greg Joseph,CLE,K,15,DEN,20,23,3550,6.33
232,Chandler Catanzaro,CAR,K,15,NO,17,1,3500,5.48
1,Patrick Mahomes,KC,QB,15,LAC,8,4,9500,23.57
3,Jared Goff,LAR,QB,15,PHI,26,24,7900,21.05
4,Ben Roethlisberger,PIT,QB,15,NE,21,23,8600,20.8
5,Cam Newton,CAR,QB,15,NO,17,32,8400,20.64
6,Andrew Luck,IND,QB,15,DAL,4,10,8100,20.57
7,Drew Brees,NO,QB,15,CAR,25,27,8400,20.42
8,Philip Rivers,LAC,QB,15,KC,30,28,8300,20.38
9,Tom Brady,NE,QB,15,PIT,13,22,7900,20.3
11,Deshaun Watson,HOU,QB,15,NYJ,21,17,8700,19.71
13,Kirk Cousins,MIN,QB,15,MIA,27,20,7800,19.44
14,Russell Wilson,SEA,QB,15,SF,25,25,8400,19.4
15,Matt Ryan,ATL,QB,15,ARI,12,3,8400,19.24
17,Dak Prescott,DAL,QB,15,IND,10,16,7300,18.98
18,Mitch Trubisky,CHI,QB,15,GB,15,15,7900,18.92
19,Lamar Jackson,BAL,QB,15,TB,31,29,7700,18.71
20,Josh Allen,BUF,QB,15,DET,17,18,7600,18.54
21,Aaron Rodgers,GB,QB,15,CHI,1,2,8100,18.18
22,Baker Mayfield,CLE,QB,15,DEN,20,12,7800,18.07
23,Jameis Winston,TB,QB,15,BAL,2,6,7000,17.92
24,Marcus Mariota,TEN,QB,15,NYG,20,12,7100,17.37
26,Derek Carr,OAK,QB,15,CIN,32,31,6800,16.67
27,Nick Foles,PHI,QB,15,LAR,19,17,6000,16.53
29,Eli Manning,NYG,QB,15,TEN,7,7,6600,15.69
32,Jeff Driskel,CIN,QB,15,OAK,29,27,6400,15.47
36,Case Keenum,DEN,QB,15,CLE,26,16,7200,15.31
38,Nick Mullens,SF,QB,15,SEA,11,9,7100,15.24
41,Josh Johnson,WAS,QB,15,JAX,5,8,6500,14.76
42,Matthew Stafford,DET,QB,15,BUF,3,1,6700,14.47
47,Ryan Tannehill,MIA,QB,15,MIN,6,4,7100,14.34
53,Sam Darnold,NYJ,QB,15,HOU,9,11,6800,13.81
57,Cody Kessler,JAX,QB,15,WAS,16,21,6200,13.12
60,Josh Rosen,ARI,QB,15,ATL,28,32,6500,12.83
2,Todd Gurley,LAR,RB,15,PHI,26,14,9800,21.81
10,Ezekiel Elliott,DAL,RB,15,IND,10,13,8800,20.16
12,Saquon Barkley,NYG,RB,15,TEN,7,5,9400,19.59
16,Christian McCaffrey,CAR,RB,15,NO,17,2,9100,19.07
25,Alvin Kamara,NO,RB,15,CAR,25,5,8000,17.13
28,Joe Mixon,CIN,RB,15,OAK,29,27,7800,16.06
34,Leonard Fournette,JAX,RB,15,WAS,16,16,8200,15.38
35,Nick Chubb,CLE,RB,15,DEN,20,15,8000,15.34
44,David Johnson,ARI,RB,15,ATL,28,28,7400,14.45
49,Phillip Lindsay,DEN,RB,15,CLE,26,27,8200,14.17
55,Justin Jackson,LAC,RB,15,KC,30,31,4500,13.67
56,Aaron Jones,GB,RB,15,CHI,1,1,7500,13.31
58,Dalvin Cook,MIN,RB,15,MIA,27,26,6200,13.03
63,Chris Carson,SEA,RB,15,SF,25,20,6500,12.57
67,Tarik Cohen,CHI,RB,15,GB,15,17,6800,12.16
70,Lamar Miller,HOU,RB,15,NYJ,21,19,7200,11.59
71,Damien Williams,KC,RB,15,LAC,8,21,5500,11.57
74,Mark Ingram,NO,RB,15,CAR,25,5,6600,11.42
78,Doug Martin,OAK,RB,15,CIN,32,32,6300,11.08
79,James White,NE,RB,15,PIT,13,8,6900,11.06
82,Sony Michel,NE,RB,15,PIT,13,8,6700,10.68
84,Marlon Mack,IND,RB,15,DAL,4,4,6300,10.62
86,Matt Breida,SF,RB,15,SEA,11,19,6300,10.5
90,Gus Edwards,BAL,RB,15,TB,31,29,6300,10.2
