Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
114,Los Angeles Chargers,LAC,DST,14,CIN,null,null,4600,9.1
132,Denver Broncos,DEN,DST,14,SF,null,null,4800,8.4
137,Buffalo Bills,BUF,DST,14,NYJ,null,null,4200,8.3
141,Pittsburgh Steelers,PIT,DST,14,OAK,null,null,4700,8.2
145,Tennessee Titans,TEN,DST,14,JAX,null,null,4700,8.1
154,Detroit Lions,DET,DST,14,ARI,null,null,4200,7.9
154,Seattle Seahawks,SEA,DST,14,MIN,null,null,4200,7.9
158,Jacksonville Jaguars,JAX,DST,14,TEN,null,null,4700,7.8
158,Dallas Cowboys,DAL,DST,14,PHI,null,null,3700,7.8
167,New England Patriots,NE,DST,14,MIA,null,null,4200,7.6
167,New Orleans Saints,NO,DST,14,TB,null,null,3800,7.6
173,New York Jets,NYJ,DST,14,BUF,null,null,4500,7.5
179,Chicago Bears,CHI,DST,14,LAR,null,null,3700,7.4
179,Kansas City Chiefs,KC,DST,14,BAL,null,null,3700,7.4
184,Los Angeles Rams,LAR,DST,14,CHI,null,null,4100,7.2
196,Cleveland Browns,CLE,DST,14,CAR,null,null,3200,6.9
196,New York Giants,NYG,DST,14,WAS,null,null,3500,6.9
196,Arizona Cardinals,ARI,DST,14,DET,null,null,3700,6.9
199,Carolina Panthers,CAR,DST,14,CLE,null,null,4000,6.8
199,Houston Texans,HOU,DST,14,IND,null,null,4300,6.8
202,Washington Redskins,WAS,DST,14,NYG,null,null,4300,6.7
205,Philadelphia Eagles,PHI,DST,14,DAL,null,null,3700,6.6
205,Minnesota Vikings,MIN,DST,14,SEA,null,null,3500,6.6
214,Green Bay Packers,GB,DST,14,ATL,null,null,3500,6.3
214,Baltimore Ravens,BAL,DST,14,KC,null,null,3400,6.3
216,San Francisco 49ers,SF,DST,14,DEN,null,null,3700,6.2
225,Indianapolis Colts,IND,DST,14,HOU,null,null,3600,5.9
245,Miami Dolphins,MIA,DST,14,NE,null,null,3200,4.8
262,Cincinnati Bengals,CIN,DST,14,LAC,null,null,3100,4.2
267,Atlanta Falcons,ATL,DST,14,GB,null,null,3100,4.1
270,Tampa Bay Buccaneers,TB,DST,14,NO,null,null,3000,4
273,Oakland Raiders,OAK,DST,14,PIT,null,null,3000,3.9
66,Jaylen Samuels,PIT,RB,14,OAK,29,27,4600,12.14
82,Ka'imi Fairbairn,HOU,K,14,IND,10,27,5000,10.68
89,Wil Lutz,NO,K,14,TB,31,12,4950,10.41
94,Michael Badgley,LAC,K,14,CIN,32,31,4900,10.26
95,Stephen Gostkowski,NE,K,14,MIA,25,26,4850,10.21
98,Greg Zuerlein,LAR,K,14,CHI,4,5,4800,10.06
105,Harrison Butker,KC,K,14,BAL,1,1,4750,9.71
107,Sebastian Janikowski,SEA,K,14,MIN,8,29,4700,9.51
108,Brett Maher,DAL,K,14,PHI,18,28,4650,9.46
110,Mason Crosby,GB,K,14,ATL,28,14,4600,9.26
112,Chris Boswell,PIT,K,14,OAK,29,29,4550,9.21
117,Justin Tucker,BAL,K,14,KC,30,17,4500,8.91
117,Matt Prater,DET,K,14,ARI,16,11,4450,8.91
119,Robbie Gould,SF,K,14,DEN,19,21,4400,8.86
119,Brandon McManus,DEN,K,14,SF,26,25,4350,8.86
121,Ryan Succop,TEN,K,14,JAX,3,15,4300,8.81
122,Adam Vinatieri,IND,K,14,HOU,9,7,4250,8.76
125,Matt Bryant,ATL,K,14,GB,14,17,4200,8.66
131,Jake Elliott,PHI,K,14,DAL,2,10,4150,8.41
134,Aldrick Rosas,NYG,K,14,WAS,12,3,4100,8.36
136,Chandler Catanzaro,CAR,K,14,CLE,27,19,4050,8.34
139,Steven Hauschka,BUF,K,14,NYJ,21,22,4000,8.21
148,Cody Parkey,CHI,K,14,LAR,23,19,3950,8.04
150,Dustin Hopkins,WAS,K,14,NYG,20,32,3900,8.01
152,Daniel Carlson,OAK,K,14,PIT,13,9,3850,7.94
152,Cairo Santos,TB,K,14,NO,17,2,3800,7.94
157,Jason Myers,NYJ,K,14,BUF,3,22,3750,7.81
165,Jason Sanders,MIA,K,14,NE,15,22,3700,7.74
166,Dan Bailey,MIN,K,14,SEA,12,7,3650,7.64
174,Josh Lambo,JAX,K,14,TEN,8,18,3600,7.44
183,Zane Gonzalez,ARI,K,14,DET,22,6,3550,7.29
208,Greg Joseph,CLE,K,14,CAR,24,16,3500,6.53
227,Randy Bullock,CIN,K,14,LAC,7,4,3450,5.78
1,Patrick Mahomes,KC,QB,14,BAL,1,4,9300,22.84
2,Ben Roethlisberger,PIT,QB,14,OAK,29,25,8600,21.9
3,Drew Brees,NO,QB,14,TB,31,30,8500,21.81
4,Cam Newton,CAR,QB,14,CLE,27,18,8400,21.35
5,Jameis Winston,TB,QB,14,NO,17,29,7700,21.2
6,Aaron Rodgers,GB,QB,14,ATL,28,31,8100,20.79
7,Deshaun Watson,HOU,QB,14,IND,10,15,7800,20.4
